disease,symptoms
Typhoid,"abdominal pain, loss of appetite, headache"
Pericarditis,"fever, sharp chest pain when breathing, heart palpitations"
Eczema,"itchy skin, skin cracking, skin inflammation"
Tuberculosis,"weight loss, night sweats, fever, fatigue"
Osteoporosis,"fractures, back pain, loss of height"
Hepatitis B,"nausea, abdominal pain, joint pain"
Epilepsy,"loss of awareness, temporary staring spells, uncontrolled jerking movements"
Pneumonia,"cough, shortness of breath, chills, fatigue"
Diabetes Type 2,"frequent urination, increased thirst, fatigue"
Pericarditis,"weakness, sharp chest pain when breathing, heart palpitations"
Sinusitis,"headache, nasal congestion, fever"
Urinary Tract Infection,"burning urination, frequent urination, pelvic pain, cloudy urine, strong urine odor"
Pneumonia,"chest pain, chills, fatigue"
COVID-19,"fever, dry cough, fatigue, loss of smell, shortness of breath"
Tuberculosis,"weight loss, fever, fatigue, chest pain"
Migraine,"nausea, vomiting, blurred vision"
Pericarditis,"chest pain, fever, sharp chest pain when breathing, heart palpitations"
Heart Failure,"shortness of breath, swelling in legs, cough"
Cellulitis,"swelling, warm skin, fever"
Obesity,"joint pain, excessive sweating, snoring"
Tuberculosis,"persistent cough, weight loss, night sweats, fatigue, chest pain"
Pneumonia,"cough, chest pain, chills"
Tuberculosis,"weight loss, night sweats, fever, fatigue, chest pain"
Cardiomyopathy,"fatigue, swelling in legs, irregular heartbeat, dizziness"
GERD,"heartburn, chest discomfort, nausea, regurgitation"
Pneumonia,"fever, chest pain, chills"
Constipation,"infrequent stools, straining during bowel movements, hard stools"
Vertigo,"balance problems, spinning sensation, head movement sensitivity"
Hypertension,"chest pain, vision problems, fatigue"
Hepatitis B,"fatigue, nausea, abdominal pain"
Pneumonia,"fever, cough, fatigue"
Meningitis,"fever, headache, confusion"
COVID-19,"fever, dry cough, loss of smell, loss of taste"
Hepatitis C,"fatigue, abdominal discomfort, loss of appetite"
Angina,"fatigue, chest tightness, pressure in chest"
Urinary Tract Infection,"burning urination, frequent urination, cloudy urine, strong urine odor"
Hepatitis A,"nausea, abdominal pain, loss of appetite, jaundice"
Osteoporosis,"fractures, back pain, stooped posture"
Fungal Infection,"itching, red rash, burning sensation"
Migraine,"headache, vomiting, light sensitivity"
Dengue,"muscle pain, rash, nausea"
Kidney Stones,"severe abdominal pain, nausea, blood in urine"
Parkinson?s Disease,"slow movement, rigidity, balance problems"
Influenza,"fever, cough, muscle pain, sore throat"
Muscle Strain,"swelling, limited movement, muscle stiffness"
Migraine,"headache, light sensitivity, blurred vision"
Typhoid,"abdominal pain, weakness, loss of appetite, headache"
Vitamin D Deficiency,"bone pain, bone tenderness, frequent bone fractures"
Common Cold,"runny nose, cough, congestion, headache"
Hepatitis B,"fatigue, nausea, jaundice"
Psoriasis,"red patches, itching, skin flaking"
Vitamin D Deficiency,"bone pain, fatigue, bone tenderness"
Meningitis,"stiff neck, headache, nausea, confusion"
COVID-19,"fever, dry cough, fatigue, loss of taste, shortness of breath"
Heart Attack,"chest pain, shortness of breath, nausea, sweating"
Urinary Tract Infection,"burning urination, pelvic pain, cloudy urine, strong urine odor"
Common Cold,"runny nose, sore throat, cough, congestion, headache"
Tuberculosis,"persistent cough, night sweats, fever, fatigue"
Cardiomyopathy,"fatigue, shortness of breath, irregular heartbeat"
Allergic Rhinitis,"sneezing, runny nose, itchy eyes"
Hepatitis A,"fatigue, nausea, abdominal pain, loss of appetite, jaundice"
Vertigo,"dizziness, balance problems, nausea, head movement sensitivity"
Gout,"severe joint pain, swelling, redness in joints, joint stiffness, warm joints"
Influenza,"chills, cough, muscle pain, sore throat"
Pancreatitis,"severe abdominal pain, nausea, vomiting"
Food Poisoning,"nausea, vomiting, diarrhea, abdominal cramps"
Tuberculosis,"weight loss, fever, fatigue"
Peptic Ulcer,"burning stomach pain, nausea, bloating, loss of appetite"
Meningitis,"stiff neck, headache, nausea"
Hepatitis B,"fatigue, abdominal pain, jaundice"
Pneumonia,"fever, cough, chest pain, shortness of breath"
Tuberculosis,"persistent cough, weight loss, fever, fatigue"
Muscle Strain,"swelling, limited movement, bruising"
Measles,"rash, fever, cough, red eyes"
Pneumonia,"fever, cough, chest pain"
Influenza,"fatigue, muscle pain, sore throat"
Common Cold,"runny nose, sneezing, sore throat, congestion"
Hepatitis C,"fatigue, nausea, loss of appetite"
Mumps,"swollen glands, fever, muscle pain, fatigue"
Cardiomyopathy,"fatigue, shortness of breath, swelling in legs"
Tuberculosis,"persistent cough, night sweats, fatigue"
COPD,"shortness of breath, wheezing, fatigue, chest tightness"
COVID-19,"fever, fatigue, loss of smell, loss of taste"
Arrhythmia,"palpitations, dizziness, shortness of breath"
Common Cold,"runny nose, sore throat, cough, headache"
Meningitis,"headache, nausea, confusion"
Chickenpox,"fatigue, loss of appetite, headache"
Migraine,"headache, nausea, blurred vision"
Angina,"chest pain, fatigue, pressure in chest"
Gastritis,"abdominal pain, nausea, loss of appetite"
Malaria,"chills, sweating, headache"
Nephritis,"swelling in face, foamy urine, decreased urine output"
Eczema,"dry skin, skin cracking, skin inflammation"
Typhoid,"prolonged fever, abdominal pain, weakness"
Nephritis,"foamy urine, fatigue, decreased urine output"
Hypothyroidism,"fatigue, cold sensitivity, slow heart rate"
Dengue,"high fever, severe headache, muscle pain, rash, nausea"
Brain Tumor,"persistent headache, vision problems, seizures"
Vitamin B12 Deficiency,"fatigue, weakness, dizziness"
Allergic Rhinitis,"sneezing, runny nose, watery eyes"
Epilepsy,"seizures, confusion, temporary staring spells, uncontrolled jerking movements"
Malaria,"chills, sweating, fatigue"
Tuberculosis,"persistent cough, fever, fatigue"
Fungal Infection,"itching, skin peeling, skin irritation"
Common Cold,"runny nose, sneezing, sore throat, cough, headache"
Influenza,"fever, chills, cough, muscle pain, headache"
Urinary Tract Infection,"frequent urination, pelvic pain, cloudy urine, strong urine odor"
Arrhythmia,"palpitations, dizziness, fatigue"
Heart Attack,"chest pain, shortness of breath, nausea, arm pain"
Sinusitis,"headache, runny nose, fever"
Angina,"chest pain, fatigue, chest tightness"
Vitamin D Deficiency,"bone pain, muscle weakness, frequent bone fractures"
Hypothyroidism,"fatigue, weight gain, slow heart rate"
Malaria,"fever, chills, headache, fatigue"
Dengue,"joint pain, muscle pain, rash"
Pneumonia,"fever, cough, shortness of breath"
Common Cold,"sneezing, cough, congestion, headache"
Osteoporosis,"fractures, loss of height, stooped posture"
COVID-19,"loss of smell, loss of taste, shortness of breath"
Nephritis,"swelling in face, high blood pressure, foamy urine, fatigue"
Gastritis,"nausea, vomiting, bloating, loss of appetite"
Common Cold,"runny nose, sore throat, congestion, headache"
Migraine,"headache, nausea, light sensitivity, blurred vision"
Chickenpox,"fever, loss of appetite, headache"
COVID-19,"fever, dry cough, loss of smell, loss of taste, shortness of breath"
Influenza,"chills, muscle pain, headache"
Urinary Tract Infection,"frequent urination, pelvic pain, strong urine odor"
Tuberculosis,"persistent cough, night sweats, fatigue, chest pain"
Malaria,"fever, chills, sweating, nausea, fatigue"
Pancreatitis,"severe abdominal pain, vomiting, fever"
Influenza,"chills, cough, fatigue, muscle pain, sore throat"
Anemia,"weakness, pale skin, shortness of breath"
Migraine,"nausea, vomiting, light sensitivity, blurred vision"
Sinusitis,"headache, facial pain, fever"
Kidney Stones,"severe abdominal pain, back pain, blood in urine"
Typhoid,"weakness, loss of appetite, headache"
Heart Attack,"shortness of breath, nausea, arm pain"
Rheumatoid Arthritis,"swelling, fatigue, stiffness"
Chickenpox,"rash, fever, loss of appetite, headache"
Dengue,"high fever, severe headache, joint pain, rash"
Rubella,"fever, headache, joint pain"
GERD,"heartburn, nausea, regurgitation"
Tuberculosis,"night sweats, fatigue, chest pain"
Psoriasis,"red patches, scaly skin, skin flaking"
Cellulitis,"pain, warm skin, fever"
Cardiomyopathy,"shortness of breath, swelling in legs, dizziness"
Cardiomyopathy,"shortness of breath, swelling in legs, irregular heartbeat"
COPD,"chronic cough, shortness of breath, wheezing, fatigue"
Hepatitis A,"fatigue, abdominal pain, jaundice"
Dengue,"severe headache, joint pain, muscle pain, rash, nausea"
Gastritis,"abdominal pain, nausea, vomiting, bloating, loss of appetite"
Atherosclerosis,"chest pain, leg pain during walking, numbness in limbs"
Arrhythmia,"palpitations, dizziness, fatigue, shortness of breath"
GERD,"heartburn, nausea, sore throat"
Nephritis,"swelling in face, high blood pressure, foamy urine"
Hepatitis C,"abdominal discomfort, jaundice, loss of appetite"
Tuberculosis,"persistent cough, fatigue, chest pain"
Allergic Rhinitis,"sneezing, itchy eyes, nasal congestion, watery eyes"
Influenza,"fever, chills, muscle pain, headache"
Asthma,"wheezing, chest tightness, cough"
Constipation,"abdominal discomfort, infrequent stools, straining during bowel movements"
Mumps,"swollen glands, fever, muscle pain"
Malaria,"fever, sweating, headache, fatigue"
COVID-19,"fever, loss of smell, shortness of breath"
Tuberculosis,"weight loss, night sweats, fatigue, chest pain"
COVID-19,"dry cough, loss of smell, shortness of breath"
Dengue,"high fever, severe headache, muscle pain"
Chronic Kidney Disease,"fatigue, swelling in legs, nausea, loss of appetite"
Mumps,"swollen glands, fever, fatigue"
Hepatitis B,"fatigue, nausea, abdominal pain, jaundice, joint pain"
Acne,"pimples, redness, skin inflammation"
Epilepsy,"confusion, loss of awareness, temporary staring spells, uncontrolled jerking movements"
Dengue,"severe headache, joint pain, muscle pain"
Dengue,"severe headache, joint pain, rash, nausea"
Pneumonia,"cough, chest pain, shortness of breath, chills"
COVID-19,"fever, fatigue, loss of taste"
Asthma,"shortness of breath, cough, fatigue"
Dengue,"high fever, muscle pain, rash, nausea"
Pneumonia,"fever, cough, chest pain, chills, fatigue"
Acne,"pimples, redness, skin inflammation, whiteheads"
Acne,"pimples, redness, skin inflammation, blackheads"
Common Cold,"runny nose, sneezing, sore throat"
Sinusitis,"facial pain, nasal congestion, runny nose"
Angina,"chest pain, shortness of breath, fatigue, chest tightness"
Gout,"severe joint pain, swelling, joint stiffness"
Tension Headache,"headache, neck pain, pressure around head"
COVID-19,"fever, dry cough, fatigue"
Meningitis,"fever, nausea, confusion"
Pneumonia,"cough, chest pain, shortness of breath, chills, fatigue"
Sinusitis,"headache, facial pain, runny nose, fever"
Kidney Stones,"severe abdominal pain, back pain, nausea"
Food Poisoning,"nausea, vomiting, abdominal cramps, fever"
Migraine,"vomiting, light sensitivity, blurred vision"
Osteoporosis,"back pain, loss of height, stooped posture"
Kidney Infection,"fever, nausea, frequent urination"
Irritable Bowel Syndrome,"abdominal pain, bloating, diarrhea"
Urinary Tract Infection,"burning urination, frequent urination, strong urine odor"
Hypothyroidism,"weight gain, cold sensitivity, slow heart rate"
Angina,"shortness of breath, fatigue, chest tightness, pressure in chest"
Arrhythmia,"palpitations, fatigue, shortness of breath"
Sinusitis,"facial pain, nasal congestion, runny nose, fever"
Typhoid,"prolonged fever, loss of appetite, headache"
Rheumatoid Arthritis,"joint pain, swelling, fatigue"
Psoriasis,"red patches, itching, skin flaking, skin dryness"
Pneumonia,"chest pain, shortness of breath, fatigue"
Pericarditis,"chest pain, fever, weakness, sharp chest pain when breathing, heart palpitations"
Vertigo,"balance problems, nausea, spinning sensation"
Atherosclerosis,"shortness of breath, fatigue, leg pain during walking"
Sinusitis,"headache, facial pain, runny nose"
Gallstones,"abdominal pain, nausea, vomiting, indigestion"
Gallstones,"nausea, vomiting, indigestion"
Pneumonia,"fever, chest pain, fatigue"
Measles,"rash, fever, red eyes"
Brain Tumor,"persistent headache, nausea, seizures"
Sinusitis,"headache, facial pain, nasal congestion, runny nose, fever"
Osteoporosis,"bone pain, back pain, stooped posture"
Constipation,"abdominal discomfort, bloating, infrequent stools"
Common Cold,"sneezing, sore throat, cough, congestion, headache"
Hepatitis B,"fatigue, nausea, jaundice, joint pain"
Angina,"chest pain, shortness of breath, chest tightness"
Typhoid,"abdominal pain, weakness, loss of appetite"
Allergic Rhinitis,"sneezing, runny nose, nasal congestion, watery eyes"
Pericarditis,"chest pain, fever, sharp chest pain when breathing"
Influenza,"chills, muscle pain, headache, sore throat"
Malaria,"fever, headache, nausea, fatigue"
Pericarditis,"fever, weakness, sharp chest pain when breathing"
GERD,"chest discomfort, nausea, sore throat"
Typhoid,"abdominal pain, weakness, headache"
Obesity,"fatigue, joint pain, excessive sweating, snoring"
Obesity,"fatigue, joint pain, excessive sweating"
Constipation,"bloating, infrequent stools, hard stools"
Hepatitis A,"fatigue, nausea, abdominal pain"
Constipation,"abdominal discomfort, bloating, infrequent stools, straining during bowel movements, hard stools"
Tuberculosis,"persistent cough, weight loss, night sweats, fever, chest pain"
Stroke,"sudden weakness, trouble speaking, vision problems"
Nephritis,"swelling in face, high blood pressure, fatigue, decreased urine output"
Acne,"pimples, skin inflammation, blackheads"
GERD,"heartburn, chest discomfort, regurgitation, sore throat"
Appendicitis,"vomiting, fever, loss of appetite"
Bronchitis,"cough, mucus production, shortness of breath, chest discomfort"
Pericarditis,"chest pain, weakness, sharp chest pain when breathing, heart palpitations"
Pneumonia,"cough, shortness of breath, fatigue"
Atherosclerosis,"shortness of breath, leg pain during walking, numbness in limbs"
Hepatitis B,"abdominal pain, jaundice, joint pain"
Hepatitis B,"fatigue, nausea, abdominal pain, joint pain"
Influenza,"fever, chills, muscle pain"
Vertigo,"dizziness, balance problems, nausea"
Bell?s Palsy,"facial weakness, loss of facial expression, drooling"
Bell?s Palsy,"facial weakness, drooping eyelid, difficulty speaking, loss of facial expression, drooling"
Measles,"fever, cough, runny nose, red eyes"
Sinusitis,"headache, facial pain, nasal congestion"
Obesity,"fatigue, shortness of breath, joint pain, excessive sweating, snoring"
GERD,"heartburn, regurgitation, sore throat"
Urinary Tract Infection,"burning urination, cloudy urine, strong urine odor"
Cardiomyopathy,"fatigue, swelling in legs, irregular heartbeat"
Influenza,"chills, cough, fatigue"
Allergic Rhinitis,"sneezing, nasal congestion, watery eyes"
Psoriasis,"red patches, skin flaking, skin dryness"
Diabetes Type 1,"frequent urination, increased thirst, fatigue"
Malaria,"fever, chills, headache"
Dengue,"joint pain, rash, nausea"
Tension Headache,"headache, fatigue, pressure around head"
Measles,"rash, fever, cough, runny nose"
Tension Headache,"neck pain, fatigue, pressure around head"
Obesity,"fatigue, shortness of breath, joint pain, snoring"
Eczema,"itchy skin, red rash, skin cracking, skin inflammation"
Common Cold,"runny nose, sneezing, sore throat, cough"
Hepatitis B,"fatigue, abdominal pain, jaundice, joint pain"
Vertigo,"dizziness, nausea, spinning sensation, head movement sensitivity"
Asthma,"wheezing, chest tightness, cough, fatigue"
Asthma,"chest tightness, cough, fatigue"
Cardiomyopathy,"swelling in legs, irregular heartbeat, dizziness"
Epilepsy,"seizures, confusion, loss of awareness, temporary staring spells, uncontrolled jerking movements"
Measles,"rash, fever, cough, runny nose, red eyes"
Eczema,"red rash, dry skin, skin inflammation"
Dengue,"severe headache, joint pain, nausea"
Allergic Rhinitis,"sneezing, itchy eyes, watery eyes"
COVID-19,"fatigue, loss of smell, loss of taste"
Dengue,"joint pain, muscle pain, rash, nausea"
Pneumonia,"fever, shortness of breath, chills, fatigue"
Psoriasis,"red patches, scaly skin, itching, skin dryness"
Hepatitis A,"fatigue, nausea, abdominal pain, loss of appetite"
Chronic Kidney Disease,"swelling in legs, nausea, loss of appetite"
Influenza,"fever, chills, cough, muscle pain"
Malaria,"fever, chills, sweating, fatigue"
Epilepsy,"confusion, loss of awareness, uncontrolled jerking movements"
Parkinson?s Disease,"tremor, slow movement, rigidity, balance problems"
Dengue,"high fever, muscle pain, rash"
Bell?s Palsy,"difficulty speaking, loss of facial expression, drooling"
Common Cold,"runny nose, sore throat, congestion"
Mumps,"swollen glands, headache, muscle pain, fatigue"
Pneumonia,"fever, cough, shortness of breath, fatigue"
Dengue,"high fever, severe headache, joint pain"
Nephritis,"swelling in face, foamy urine, fatigue"
Angina,"chest pain, shortness of breath, chest tightness, pressure in chest"
Peptic Ulcer,"burning stomach pain, nausea, loss of appetite"
Vitamin D Deficiency,"bone pain, fatigue, muscle weakness"
Osteoporosis,"bone pain, fractures, back pain, stooped posture"
Malaria,"chills, sweating, nausea, fatigue"
Nephritis,"swelling in face, high blood pressure, foamy urine, decreased urine output"
Gout,"severe joint pain, swelling, redness in joints, warm joints"
Vertigo,"dizziness, nausea, spinning sensation"
COVID-19,"fever, loss of smell, loss of taste"
Hepatitis C,"fatigue, nausea, abdominal discomfort, jaundice, loss of appetite"
Allergic Rhinitis,"runny nose, itchy eyes, watery eyes"
Meningitis,"fever, stiff neck, confusion"
Atherosclerosis,"fatigue, leg pain during walking, numbness in limbs"
COVID-19,"fatigue, loss of smell, loss of taste, shortness of breath"
Meningitis,"stiff neck, nausea, confusion"
Malaria,"fever, sweating, headache"
Typhoid,"prolonged fever, abdominal pain, headache"
Malaria,"chills, sweating, headache, nausea"
Gallstones,"abdominal pain, nausea, indigestion"
Tuberculosis,"weight loss, night sweats, fatigue"
Rheumatoid Arthritis,"joint pain, swelling, stiffness"
Epilepsy,"seizures, temporary staring spells, uncontrolled jerking movements"
Vitamin D Deficiency,"bone pain, fatigue, muscle weakness, bone tenderness"
Gout,"severe joint pain, redness in joints, warm joints"
Gastritis,"abdominal pain, nausea, vomiting, bloating"
Meningitis,"fever, stiff neck, headache, confusion"
Atherosclerosis,"chest pain, shortness of breath, fatigue"
Hepatitis A,"nausea, loss of appetite, jaundice"
Migraine,"nausea, vomiting, light sensitivity"
Bronchitis,"cough, mucus production, fatigue, shortness of breath"
Food Poisoning,"nausea, vomiting, abdominal cramps"
Atherosclerosis,"chest pain, shortness of breath, fatigue, leg pain during walking"
Appendicitis,"severe abdominal pain, nausea, vomiting, fever"
Typhoid,"prolonged fever, abdominal pain, loss of appetite, headache"
Sinusitis,"facial pain, nasal congestion, fever"
GERD,"chest discomfort, nausea, regurgitation, sore throat"
Gastritis,"abdominal pain, vomiting, bloating"
Nephritis,"swelling in face, foamy urine, fatigue, decreased urine output"
Chickenpox,"fever, fatigue, loss of appetite, headache"
Diarrhea,"watery stools, abdominal cramps, weakness"
Common Cold,"runny nose, cough, headache"
Pericarditis,"chest pain, fever, weakness"
Peptic Ulcer,"burning stomach pain, bloating, loss of appetite"
Common Cold,"sneezing, sore throat, congestion"
Urinary Tract Infection,"frequent urination, cloudy urine, strong urine odor"
Common Cold,"runny nose, sneezing, cough, headache"
Psoriasis,"red patches, scaly skin, itching, skin flaking"
Chickenpox,"rash, fatigue, loss of appetite"
Epilepsy,"seizures, loss of awareness, temporary staring spells"
Psoriasis,"red patches, scaly skin, skin flaking, skin dryness"
COVID-19,"fever, dry cough, fatigue, shortness of breath"
Meningitis,"fever, stiff neck, nausea, confusion"
Measles,"rash, cough, red eyes"
Atherosclerosis,"chest pain, shortness of breath, leg pain during walking, numbness in limbs"
Urinary Tract Infection,"burning urination, frequent urination, pelvic pain, cloudy urine"
Peptic Ulcer,"burning stomach pain, nausea, bloating"
Psoriasis,"scaly skin, itching, skin flaking"
Gastritis,"nausea, bloating, loss of appetite"
Heart Attack,"chest pain, shortness of breath, arm pain"
Nephritis,"swelling in face, high blood pressure, decreased urine output"
Chickenpox,"rash, fever, fatigue, loss of appetite, headache"
Dengue,"severe headache, muscle pain, nausea"
Pericarditis,"chest pain, sharp chest pain when breathing, heart palpitations"
Hepatitis A,"abdominal pain, loss of appetite, jaundice"
Heart Attack,"chest pain, shortness of breath, sweating, arm pain"
Diarrhea,"watery stools, abdominal cramps, nausea"
Hepatitis A,"fatigue, loss of appetite, jaundice"
Hepatitis A,"fatigue, abdominal pain, loss of appetite"
Tuberculosis,"night sweats, fever, fatigue"
Common Cold,"sneezing, cough, congestion"
COVID-19,"fever, dry cough, fatigue, loss of smell, loss of taste"
Constipation,"bloating, infrequent stools, straining during bowel movements"
Urinary Tract Infection,"pelvic pain, cloudy urine, strong urine odor"
Eczema,"red rash, dry skin, skin cracking, skin inflammation"
Obesity,"shortness of breath, joint pain, excessive sweating"
Irritable Bowel Syndrome,"abdominal pain, bloating, constipation"
Migraine,"headache, nausea, vomiting"
Vitamin D Deficiency,"bone pain, fatigue, frequent bone fractures"
Allergic Rhinitis,"sneezing, runny nose, nasal congestion"
Urinary Tract Infection,"burning urination, frequent urination, pelvic pain, strong urine odor"
Osteoporosis,"bone pain, fractures, loss of height, stooped posture"
Pneumonia,"fever, chest pain, shortness of breath"
Common Cold,"runny nose, sneezing, sore throat, congestion, headache"
Malaria,"chills, headache, fatigue"
Hypertension,"headache, chest pain, fatigue"
Pericarditis,"chest pain, weakness, sharp chest pain when breathing"
Gout,"redness in joints, joint stiffness, warm joints"
Bronchitis,"mucus production, fatigue, shortness of breath, chest discomfort"
Arthritis,"joint pain, stiffness, swelling, reduced movement"
Malaria,"fever, chills, sweating, headache, fatigue"
Osteoporosis,"bone pain, back pain, loss of height"
Obesity,"fatigue, shortness of breath, joint pain"
Common Cold,"cough, congestion, headache"
Diabetes Type 2,"frequent urination, fatigue, blurred vision"
Gout,"severe joint pain, swelling, redness in joints"
Common Cold,"runny nose, sneezing, cough, congestion, headache"
Dengue,"high fever, severe headache, joint pain, muscle pain"
Constipation,"abdominal discomfort, straining during bowel movements, hard stools"
Gallstones,"abdominal pain, vomiting, indigestion"
Psoriasis,"scaly skin, itching, skin dryness"
Acne,"skin inflammation, whiteheads, blackheads"
Hepatitis C,"nausea, abdominal discomfort, loss of appetite"
Typhoid,"prolonged fever, weakness, loss of appetite, headache"
Meningitis,"fever, stiff neck, headache, nausea, confusion"
Gout,"severe joint pain, redness in joints, joint stiffness, warm joints"
Atherosclerosis,"shortness of breath, fatigue, numbness in limbs"
Obesity,"fatigue, shortness of breath, joint pain, excessive sweating"
Bronchitis,"cough, mucus production, chest discomfort"
Influenza,"fever, cough, sore throat"
Urinary Tract Infection,"burning urination, pelvic pain, cloudy urine"
Gastritis,"abdominal pain, bloating, loss of appetite"
Bronchitis,"cough, fatigue, chest discomfort"
Malaria,"sweating, headache, nausea, fatigue"
Vertigo,"dizziness, balance problems, spinning sensation"
Dengue,"severe headache, muscle pain, rash, nausea"
COVID-19,"fever, dry cough, loss of smell, shortness of breath"
Muscle Strain,"swelling, limited movement, muscle stiffness, bruising"
Peptic Ulcer,"nausea, bloating, loss of appetite"
Influenza,"fever, chills, cough, fatigue"
Malaria,"fever, chills, sweating, headache"
Fungal Infection,"red rash, burning sensation, skin irritation"
Tuberculosis,"persistent cough, night sweats, fever"
Tuberculosis,"persistent cough, weight loss, night sweats"
Bell?s Palsy,"facial weakness, drooping eyelid, difficulty speaking, drooling"
Diabetes Type 2,"increased thirst, fatigue, blurred vision"
Common Cold,"sneezing, sore throat, congestion, headache"
Acne,"pimples, skin inflammation, whiteheads"
Obesity,"fatigue, shortness of breath, excessive sweating, snoring"
Chronic Kidney Disease,"fatigue, swelling in legs, loss of appetite"
Diabetes Type 1,"frequent urination, increased thirst, weight loss"
Typhoid,"prolonged fever, abdominal pain, loss of appetite"
Hyperthyroidism,"weight loss, rapid heartbeat, anxiety"
Constipation,"abdominal discomfort, bloating, straining during bowel movements"
Tuberculosis,"persistent cough, weight loss, fatigue, chest pain"
GERD,"heartburn, chest discomfort, nausea, sore throat"
Common Cold,"runny nose, sneezing, cough"
Vitamin D Deficiency,"fatigue, muscle weakness, frequent bone fractures"
Pneumonia,"fever, chest pain, shortness of breath, fatigue"
Muscle Strain,"muscle pain, limited movement, muscle stiffness, bruising"
Fungal Infection,"skin peeling, burning sensation, skin irritation"
Mumps,"fever, muscle pain, fatigue"
Chickenpox,"fever, fatigue, loss of appetite"
COPD,"chronic cough, shortness of breath, fatigue"
Measles,"rash, fever, cough"
Diarrhea,"watery stools, nausea, weakness"
Tuberculosis,"persistent cough, night sweats, chest pain"
Influenza,"fever, chills, cough, fatigue, sore throat"
Multiple Sclerosis,"weakness, vision problems, fatigue"
COVID-19,"fever, dry cough, fatigue, loss of smell"
Migraine,"nausea, light sensitivity, blurred vision"
Cellulitis,"skin redness, pain, warm skin"
Asthma,"wheezing, shortness of breath, chest tightness, fatigue"
COVID-19,"dry cough, loss of taste, shortness of breath"
Allergic Rhinitis,"runny nose, nasal congestion, watery eyes"
Asthma,"wheezing, shortness of breath, cough, fatigue"
Vitamin B12 Deficiency,"fatigue, numbness, dizziness"
Chronic Kidney Disease,"fatigue, swelling in legs, nausea"
Pneumonia,"fever, chest pain, chills, fatigue"
Diabetes Type 1,"frequent urination, fatigue, weight loss"
Appendicitis,"nausea, vomiting, loss of appetite"
Angina,"chest pain, fatigue, chest tightness, pressure in chest"
COPD,"chronic cough, wheezing, fatigue, chest tightness"
Muscle Strain,"muscle pain, limited movement, bruising"
Appendicitis,"severe abdominal pain, nausea, vomiting, loss of appetite"
Dengue,"high fever, severe headache, joint pain, rash, nausea"
Psoriasis,"red patches, scaly skin, skin dryness"
Meningitis,"fever, stiff neck, headache, nausea"
Cellulitis,"skin redness, swelling, pain, warm skin, fever"
Common Cold,"runny nose, congestion, headache"
Influenza,"cough, fatigue, muscle pain, headache"
Common Cold,"sore throat, cough, congestion"
Arthritis,"stiffness, swelling, reduced movement"
Fungal Infection,"itching, red rash, skin peeling, burning sensation"
Hypertension,"headache, vision problems, fatigue"
Appendicitis,"severe abdominal pain, nausea, loss of appetite"
Malaria,"chills, headache, nausea, fatigue"
Influenza,"cough, fatigue, muscle pain"
Hepatitis B,"nausea, abdominal pain, jaundice"
Acne,"pimples, whiteheads, blackheads"
Pneumonia,"fever, cough, shortness of breath, chills"
Muscle Strain,"limited movement, muscle stiffness, bruising"
Osteoporosis,"bone pain, fractures, back pain, loss of height, stooped posture"
Kidney Stones,"back pain, nausea, blood in urine"
Malaria,"sweating, nausea, fatigue"
Vitamin D Deficiency,"bone pain, fatigue, bone tenderness, frequent bone fractures"
Diarrhea,"abdominal cramps, nausea, weakness"
Vertigo,"dizziness, nausea, head movement sensitivity"
Bell?s Palsy,"drooping eyelid, difficulty speaking, loss of facial expression"
Influenza,"cough, muscle pain, headache, sore throat"
Cellulitis,"skin redness, warm skin, fever"
Psoriasis,"itching, skin flaking, skin dryness"
Heart Failure,"shortness of breath, fatigue, swelling in legs"
Hepatitis C,"fatigue, abdominal discomfort, jaundice, loss of appetite"
Bell?s Palsy,"drooping eyelid, difficulty speaking, loss of facial expression, drooling"
Pancreatitis,"severe abdominal pain, nausea, fever"
Sinusitis,"headache, nasal congestion, runny nose, fever"
Chickenpox,"fever, fatigue, headache"
Dengue,"high fever, severe headache, joint pain, muscle pain, nausea"
Malaria,"chills, nausea, fatigue"
Rubella,"rash, fever, headache"
Epilepsy,"seizures, loss of awareness, uncontrolled jerking movements"
Diabetes Type 2,"frequent urination, increased thirst, fatigue, blurred vision"
Rubella,"rash, fever, joint pain"
Obesity,"fatigue, shortness of breath, excessive sweating"
Tuberculosis,"persistent cough, weight loss, night sweats, fever"
Asthma,"wheezing, shortness of breath, chest tightness"
Vertigo,"dizziness, balance problems, spinning sensation, head movement sensitivity"
Pneumonia,"fever, chills, fatigue"
GERD,"heartburn, chest discomfort, nausea"
Vitamin D Deficiency,"fatigue, muscle weakness, bone tenderness"
Tuberculosis,"persistent cough, weight loss, night sweats, chest pain"
Hepatitis B,"fatigue, jaundice, joint pain"
Kidney Infection,"fever, back pain, frequent urination"
Tuberculosis,"persistent cough, weight loss, night sweats, fever, fatigue"
