disease,symptoms
Hepatitis A,"fatigue, nausea, loss of appetite, jaundice"
Hepatitis A,"fatigue, abdominal pain, jaundice"
Hepatitis A,"fatigue, nausea, abdominal pain, jaundice"
Hepatitis A,"fatigue, nausea, abdominal pain, loss of appetite"
Hepatitis A,"nausea, abdominal pain, jaundice"
Hepatitis A,"fatigue, abdominal pain, loss of appetite"
Hepatitis A,"fatigue, loss of appetite, jaundice"
Hepatitis A,"fatigue, abdominal pain, loss of appetite, jaundice"
Hepatitis A,"nausea, loss of appetite, jaundice"
Hepatitis A,"nausea, abdominal pain, loss of appetite"
Hepatitis B,"fatigue, abdominal pain, joint pain"
Hepatitis B,"fatigue, nausea, abdominal pain, jaundice, joint pain"
Hepatitis B,"fatigue, abdominal pain, jaundice, joint pain"
Hepatitis B,"fatigue, abdominal pain, jaundice"
Hepatitis B,"fatigue, nausea, abdominal pain, jaundice"
Hepatitis B,"fatigue, nausea, jaundice, joint pain"
Hepatitis B,"nausea, abdominal pain, jaundice, joint pain"
Hepatitis B,"fatigue, nausea, joint pain"
Hepatitis B,"abdominal pain, jaundice, joint pain"
Hepatitis B,"fatigue, jaundice, joint pain"
Hepatitis B,"fatigue, nausea, abdominal pain, joint pain"
Hepatitis B,"nausea, abdominal pain, joint pain"
Hepatitis B,"nausea, abdominal pain, jaundice"
Hepatitis B,"fatigue, nausea, jaundice"
Hepatitis B,"nausea, jaundice, joint pain"
Hepatitis B,"fatigue, nausea, abdominal pain"
Hepatitis C,"fatigue, abdominal discomfort, loss of appetite"
Hepatitis C,"nausea, abdominal discomfort, jaundice"
Hepatitis C,"fatigue, abdominal discomfort, jaundice"
Hepatitis C,"fatigue, abdominal discomfort, jaundice, loss of appetite"
Hepatitis C,"abdominal discomfort, jaundice, loss of appetite"
Hepatitis C,"fatigue, nausea, abdominal discomfort, jaundice, loss of appetite"
Hepatitis C,"nausea, abdominal discomfort, jaundice, loss of appetite"
Hepatitis C,"fatigue, nausea, jaundice"
Hepatitis C,"fatigue, nausea, jaundice, loss of appetite"
Hepatitis C,"fatigue, jaundice, loss of appetite"
Hepatitis C,"fatigue, nausea, abdominal discomfort"
Hepatitis C,"nausea, abdominal discomfort, loss of appetite"
Hepatitis C,"fatigue, nausea, abdominal discomfort, loss of appetite"
Hepatitis C,"fatigue, nausea, abdominal discomfort, jaundice"
Hepatitis C,"fatigue, nausea, loss of appetite"
Hepatitis C,"nausea, jaundice, loss of appetite"
Hypertension,"headache, chest pain, fatigue"
Hypertension,"chest pain, vision problems, fatigue"
Hypertension,"headache, chest pain, vision problems"
Hypertension,"headache, chest pain, vision problems, fatigue"
Hypertension,"headache, vision problems, fatigue"
Hyperthyroidism,"weight loss, anxiety, sweating"
Hyperthyroidism,"rapid heartbeat, anxiety, sweating"
Hyperthyroidism,"weight loss, rapid heartbeat, anxiety"
Hyperthyroidism,"weight loss, rapid heartbeat, anxiety, sweating"
Hyperthyroidism,"weight loss, rapid heartbeat, sweating"
Hypothyroidism,"fatigue, weight gain, cold sensitivity, slow heart rate"
Hypothyroidism,"weight gain, cold sensitivity, slow heart rate"
Hypothyroidism,"fatigue, weight gain, cold sensitivity"
Hypothyroidism,"fatigue, weight gain, slow heart rate"
Hypothyroidism,"fatigue, cold sensitivity, slow heart rate"
Influenza,"chills, cough, fatigue"
Influenza,"fever, cough, muscle pain, headache"
Influenza,"chills, fatigue, headache"
Influenza,"fever, cough, fatigue, headache"
Influenza,"chills, fatigue, muscle pain"
Influenza,"chills, muscle pain, headache, sore throat"
Influenza,"fever, fatigue, muscle pain, headache, sore throat"
Influenza,"chills, fatigue, muscle pain, headache"
Influenza,"fever, cough, headache, sore throat"
Influenza,"fever, chills, muscle pain, headache"
Influenza,"fever, chills, cough, muscle pain"
Influenza,"cough, fatigue, muscle pain"
Influenza,"fever, fatigue, sore throat"
Influenza,"fever, cough, muscle pain, sore throat"
Influenza,"fever, chills, cough, muscle pain, headache"
Influenza,"chills, cough, muscle pain, headache"
Influenza,"fever, chills, cough, muscle pain, sore throat"
Influenza,"fatigue, muscle pain, headache"
Influenza,"fever, chills, headache, sore throat"
Influenza,"fever, cough, sore throat"
Influenza,"chills, muscle pain, sore throat"
Influenza,"fever, chills, cough, fatigue, sore throat"
Influenza,"fever, chills, cough, fatigue, headache"
Influenza,"chills, cough, muscle pain, sore throat"
Influenza,"chills, fatigue, headache, sore throat"
Influenza,"fatigue, muscle pain, sore throat"
Influenza,"cough, fatigue, sore throat"
Influenza,"fever, fatigue, headache, sore throat"
Influenza,"chills, cough, fatigue, muscle pain"
Influenza,"fever, chills, fatigue, muscle pain"
Influenza,"fever, chills, cough, headache"
Influenza,"fever, chills, fatigue, headache"
Influenza,"chills, muscle pain, headache"
Influenza,"chills, cough, fatigue, headache"
Influenza,"fever, chills, headache"
Influenza,"fever, fatigue, muscle pain, headache"
Influenza,"cough, fatigue, muscle pain, headache"
Influenza,"chills, cough, fatigue, muscle pain, sore throat"
Influenza,"fever, chills, cough, fatigue"
Influenza,"cough, muscle pain, sore throat"
Influenza,"fever, chills, muscle pain"
Influenza,"cough, muscle pain, headache, sore throat"
Irritable Bowel Syndrome,"abdominal pain, diarrhea, constipation"
Irritable Bowel Syndrome,"abdominal pain, bloating, constipation"
Irritable Bowel Syndrome,"abdominal pain, bloating, diarrhea"
Irritable Bowel Syndrome,"bloating, diarrhea, constipation"
Irritable Bowel Syndrome,"abdominal pain, bloating, diarrhea, constipation"
Kidney Infection,"fever, back pain, frequent urination"
Kidney Infection,"back pain, nausea, frequent urination"
Kidney Infection,"fever, back pain, nausea"
Kidney Infection,"fever, nausea, frequent urination"
Kidney Infection,"fever, back pain, nausea, frequent urination"
Kidney Stones,"severe abdominal pain, nausea, blood in urine"
Kidney Stones,"back pain, nausea, blood in urine"
Kidney Stones,"severe abdominal pain, back pain, nausea"
Kidney Stones,"severe abdominal pain, back pain, blood in urine"
Kidney Stones,"severe abdominal pain, back pain, nausea, blood in urine"
Malaria,"sweating, headache, nausea, fatigue"
Malaria,"sweating, nausea, fatigue"
Malaria,"fever, chills, sweating, nausea, fatigue"
Malaria,"fever, sweating, headache, fatigue"
Malaria,"chills, headache, nausea"
Malaria,"chills, nausea, fatigue"
Malaria,"chills, headache, nausea, fatigue"
Malaria,"fever, chills, sweating, fatigue"
Malaria,"fever, chills, sweating, headache"
Malaria,"fever, chills, headache, nausea"
Malaria,"fever, chills, sweating, headache, nausea"
Malaria,"fever, sweating, headache, nausea"
Malaria,"chills, sweating, nausea"
Malaria,"fever, sweating, nausea"
Malaria,"chills, sweating, headache, nausea, fatigue"
Malaria,"sweating, headache, fatigue"
Malaria,"fever, nausea, fatigue"
Malaria,"fever, sweating, fatigue"
Malaria,"chills, sweating, nausea, fatigue"
Malaria,"fever, chills, headache"
Malaria,"fever, chills, sweating"
Malaria,"fever, headache, nausea, fatigue"
Malaria,"fever, sweating, nausea, fatigue"
Malaria,"fever, chills, nausea"
Malaria,"headache, nausea, fatigue"
Malaria,"fever, chills, headache, fatigue"
Malaria,"chills, headache, fatigue"
Malaria,"fever, chills, fatigue"
Malaria,"fever, chills, headache, nausea, fatigue"
Malaria,"chills, sweating, headache"
Malaria,"chills, sweating, headache, nausea"
Malaria,"fever, sweating, headache, nausea, fatigue"
Malaria,"fever, headache, fatigue"
Malaria,"fever, chills, sweating, headache, fatigue"
Malaria,"fever, headache, nausea"
Malaria,"chills, sweating, headache, fatigue"
Malaria,"fever, chills, nausea, fatigue"
Malaria,"fever, sweating, headache"
Malaria,"chills, sweating, fatigue"
Malaria,"fever, chills, sweating, nausea"
Malaria,"sweating, headache, nausea"
Measles,"rash, cough, runny nose, red eyes"
Measles,"rash, fever, red eyes"
Measles,"rash, fever, cough"
Measles,"rash, fever, runny nose, red eyes"
Measles,"rash, cough, runny nose"
Measles,"cough, runny nose, red eyes"
Measles,"fever, cough, runny nose, red eyes"
Measles,"rash, fever, runny nose"
Measles,"rash, fever, cough, runny nose, red eyes"
Measles,"fever, cough, runny nose"
Measles,"rash, runny nose, red eyes"
Measles,"rash, fever, cough, runny nose"
Measles,"fever, runny nose, red eyes"
Measles,"rash, cough, red eyes"
Measles,"rash, fever, cough, red eyes"
Measles,"fever, cough, red eyes"
Meningitis,"fever, stiff neck, headache, nausea"
Meningitis,"fever, stiff neck, nausea"
Meningitis,"fever, headache, nausea, confusion"
Meningitis,"stiff neck, nausea, confusion"
Meningitis,"fever, nausea, confusion"
Meningitis,"fever, headache, nausea"
Meningitis,"fever, stiff neck, confusion"
Meningitis,"stiff neck, headache, nausea, confusion"
Meningitis,"fever, stiff neck, headache, nausea, confusion"
Meningitis,"fever, stiff neck, nausea, confusion"
Meningitis,"stiff neck, headache, confusion"
Meningitis,"stiff neck, headache, nausea"
Meningitis,"fever, stiff neck, headache, confusion"
Meningitis,"fever, headache, confusion"
Meningitis,"headache, nausea, confusion"
Meningitis,"fever, stiff neck, headache"
Migraine,"nausea, vomiting, light sensitivity, blurred vision"
Migraine,"headache, nausea, vomiting, light sensitivity"
Migraine,"headache, nausea, light sensitivity"
Migraine,"headache, light sensitivity, blurred vision"
Migraine,"headache, nausea, vomiting, blurred vision"
Migraine,"headache, nausea, vomiting"
Migraine,"nausea, light sensitivity, blurred vision"
Migraine,"headache, nausea, vomiting, light sensitivity, blurred vision"
Migraine,"headache, vomiting, light sensitivity, blurred vision"
Migraine,"headache, vomiting, blurred vision"
Migraine,"headache, nausea, blurred vision"
Migraine,"headache, nausea, light sensitivity, blurred vision"
Migraine,"vomiting, light sensitivity, blurred vision"
Migraine,"nausea, vomiting, blurred vision"
Migraine,"headache, vomiting, light sensitivity"
Migraine,"nausea, vomiting, light sensitivity"
Multiple Sclerosis,"numbness, weakness, fatigue"
Multiple Sclerosis,"numbness, vision problems, fatigue"
Multiple Sclerosis,"numbness, weakness, vision problems"
Multiple Sclerosis,"numbness, weakness, vision problems, fatigue"
Multiple Sclerosis,"weakness, vision problems, fatigue"
Mumps,"swollen glands, fever, headache, muscle pain"
Mumps,"fever, headache, muscle pain, fatigue"
Mumps,"swollen glands, fever, headache, fatigue"
Mumps,"swollen glands, muscle pain, fatigue"
Mumps,"fever, headache, fatigue"
Mumps,"swollen glands, fever, headache, muscle pain, fatigue"
Mumps,"headache, muscle pain, fatigue"
Mumps,"fever, muscle pain, fatigue"
Mumps,"swollen glands, fever, fatigue"
Mumps,"fever, headache, muscle pain"
Mumps,"swollen glands, fever, muscle pain, fatigue"
Mumps,"swollen glands, fever, muscle pain"
Mumps,"swollen glands, fever, headache"
Mumps,"swollen glands, headache, muscle pain"
Mumps,"swollen glands, headache, muscle pain, fatigue"
Mumps,"swollen glands, headache, fatigue"
Muscle Strain,"muscle pain, swelling, limited movement, muscle stiffness, bruising"
Muscle Strain,"muscle pain, swelling, limited movement"
Muscle Strain,"swelling, limited movement, muscle stiffness"
Muscle Strain,"muscle pain, swelling, bruising"
Muscle Strain,"muscle pain, swelling, muscle stiffness, bruising"
Muscle Strain,"muscle pain, limited movement, bruising"
Muscle Strain,"muscle pain, limited movement, muscle stiffness, bruising"
Muscle Strain,"swelling, limited movement, bruising"
Muscle Strain,"swelling, limited movement, muscle stiffness, bruising"
Muscle Strain,"muscle pain, limited movement, muscle stiffness"
Muscle Strain,"muscle pain, swelling, limited movement, bruising"
Muscle Strain,"muscle pain, swelling, muscle stiffness"
Muscle Strain,"muscle pain, muscle stiffness, bruising"
Muscle Strain,"swelling, muscle stiffness, bruising"
Muscle Strain,"muscle pain, swelling, limited movement, muscle stiffness"
Muscle Strain,"limited movement, muscle stiffness, bruising"
Nephritis,"foamy urine, fatigue, decreased urine output"
Nephritis,"swelling in face, foamy urine, decreased urine output"
Nephritis,"swelling in face, high blood pressure, foamy urine, fatigue, decreased urine output"
Nephritis,"swelling in face, high blood pressure, fatigue, decreased urine output"
Nephritis,"high blood pressure, foamy urine, decreased urine output"
Nephritis,"high blood pressure, foamy urine, fatigue"
Nephritis,"swelling in face, high blood pressure, foamy urine"
Nephritis,"swelling in face, high blood pressure, foamy urine, decreased urine output"
Nephritis,"high blood pressure, fatigue, decreased urine output"
Nephritis,"swelling in face, high blood pressure, foamy urine, fatigue"
Nephritis,"swelling in face, high blood pressure, fatigue"
Nephritis,"swelling in face, foamy urine, fatigue, decreased urine output"
Nephritis,"swelling in face, high blood pressure, decreased urine output"
Nephritis,"swelling in face, foamy urine, fatigue"
Nephritis,"swelling in face, fatigue, decreased urine output"
Nephritis,"high blood pressure, foamy urine, fatigue, decreased urine output"
Obesity,"fatigue, excessive sweating, snoring"
Obesity,"fatigue, shortness of breath, snoring"
Obesity,"fatigue, joint pain, excessive sweating, snoring"
Obesity,"fatigue, shortness of breath, joint pain, snoring"
Obesity,"shortness of breath, excessive sweating, snoring"
Obesity,"fatigue, shortness of breath, excessive sweating"
Obesity,"fatigue, shortness of breath, excessive sweating, snoring"
Obesity,"shortness of breath, joint pain, excessive sweating"
Obesity,"shortness of breath, joint pain, snoring"
Obesity,"fatigue, joint pain, excessive sweating"
Obesity,"fatigue, shortness of breath, joint pain, excessive sweating"
Obesity,"fatigue, shortness of breath, joint pain"
Obesity,"shortness of breath, joint pain, excessive sweating, snoring"
Obesity,"fatigue, shortness of breath, joint pain, excessive sweating, snoring"
Obesity,"fatigue, joint pain, snoring"
Obesity,"joint pain, excessive sweating, snoring"
Osteoporosis,"bone pain, fractures, loss of height"
Osteoporosis,"fractures, back pain, stooped posture"
Osteoporosis,"bone pain, fractures, back pain, stooped posture"
Osteoporosis,"bone pain, back pain, loss of height, stooped posture"
Osteoporosis,"fractures, loss of height, stooped posture"
Osteoporosis,"bone pain, fractures, stooped posture"
Osteoporosis,"bone pain, fractures, back pain"
Osteoporosis,"bone pain, fractures, loss of height, stooped posture"
Osteoporosis,"fractures, back pain, loss of height, stooped posture"
Osteoporosis,"bone pain, loss of height, stooped posture"
Osteoporosis,"bone pain, back pain, loss of height"
Osteoporosis,"bone pain, back pain, stooped posture"
Osteoporosis,"fractures, back pain, loss of height"
Osteoporosis,"back pain, loss of height, stooped posture"
Osteoporosis,"bone pain, fractures, back pain, loss of height, stooped posture"
Osteoporosis,"bone pain, fractures, back pain, loss of height"
Pancreatitis,"severe abdominal pain, nausea, vomiting"
Pancreatitis,"severe abdominal pain, vomiting, fever"
Pancreatitis,"severe abdominal pain, nausea, fever"
Pancreatitis,"nausea, vomiting, fever"
Pancreatitis,"severe abdominal pain, nausea, vomiting, fever"
Parkinson?s Disease,"slow movement, rigidity, balance problems"
Parkinson?s Disease,"tremor, slow movement, balance problems"
Parkinson?s Disease,"tremor, rigidity, balance problems"
Parkinson?s Disease,"tremor, slow movement, rigidity"
Parkinson?s Disease,"tremor, slow movement, rigidity, balance problems"
Peptic Ulcer,"burning stomach pain, nausea, loss of appetite"
Peptic Ulcer,"burning stomach pain, nausea, bloating, loss of appetite"
Peptic Ulcer,"burning stomach pain, nausea, bloating"
Peptic Ulcer,"burning stomach pain, bloating, loss of appetite"
Peptic Ulcer,"nausea, bloating, loss of appetite"
Pericarditis,"fever, weakness, sharp chest pain when breathing"
Pericarditis,"chest pain, fever, sharp chest pain when breathing"
Pericarditis,"chest pain, fever, weakness, sharp chest pain when breathing"
Pericarditis,"chest pain, weakness, sharp chest pain when breathing, heart palpitations"
Pericarditis,"fever, sharp chest pain when breathing, heart palpitations"
Pericarditis,"chest pain, fever, weakness"
Pericarditis,"chest pain, fever, sharp chest pain when breathing, heart palpitations"
Pericarditis,"chest pain, weakness, sharp chest pain when breathing"
Pericarditis,"weakness, sharp chest pain when breathing, heart palpitations"
Pericarditis,"fever, weakness, heart palpitations"
Pericarditis,"chest pain, fever, weakness, heart palpitations"
Pericarditis,"chest pain, fever, heart palpitations"
Pericarditis,"chest pain, fever, weakness, sharp chest pain when breathing, heart palpitations"
Pericarditis,"chest pain, sharp chest pain when breathing, heart palpitations"
Pericarditis,"fever, weakness, sharp chest pain when breathing, heart palpitations"
Pericarditis,"chest pain, weakness, heart palpitations"
Pneumonia,"fever, cough, shortness of breath, chills"
Pneumonia,"cough, shortness of breath, fatigue"
Pneumonia,"fever, chest pain, shortness of breath, fatigue"
Pneumonia,"fever, chest pain, shortness of breath, chills"
Pneumonia,"fever, cough, chills"
Pneumonia,"fever, cough, chest pain"
Pneumonia,"cough, chest pain, shortness of breath, fatigue"
Pneumonia,"fever, cough, chest pain, chills, fatigue"
Pneumonia,"cough, chills, fatigue"
Pneumonia,"fever, cough, chest pain, shortness of breath, fatigue"
Pneumonia,"fever, shortness of breath, chills"
Pneumonia,"fever, chest pain, shortness of breath, chills, fatigue"
Pneumonia,"shortness of breath, chills, fatigue"
Pneumonia,"fever, cough, chest pain, shortness of breath"
Pneumonia,"fever, cough, shortness of breath, fatigue"
Pneumonia,"cough, chest pain, shortness of breath, chills, fatigue"
Pneumonia,"cough, chest pain, fatigue"
Pneumonia,"fever, chest pain, shortness of breath"
Pneumonia,"fever, cough, chest pain, fatigue"
Pneumonia,"fever, cough, fatigue"
Pneumonia,"chest pain, shortness of breath, chills, fatigue"
Pneumonia,"fever, cough, chest pain, shortness of breath, chills"
Pneumonia,"cough, shortness of breath, chills"
Pneumonia,"cough, chest pain, shortness of breath, chills"
Pneumonia,"fever, cough, shortness of breath, chills, fatigue"
Pneumonia,"fever, shortness of breath, chills, fatigue"
Pneumonia,"chest pain, shortness of breath, fatigue"
Pneumonia,"fever, chest pain, fatigue"
Pneumonia,"fever, cough, chest pain, chills"
Pneumonia,"fever, shortness of breath, fatigue"
Pneumonia,"cough, shortness of breath, chills, fatigue"
Pneumonia,"cough, chest pain, shortness of breath"
Pneumonia,"cough, chest pain, chills, fatigue"
Pneumonia,"fever, cough, shortness of breath"
Pneumonia,"fever, chills, fatigue"
Pneumonia,"chest pain, chills, fatigue"
Pneumonia,"chest pain, shortness of breath, chills"
Pneumonia,"fever, chest pain, chills, fatigue"
Pneumonia,"fever, chest pain, chills"
Pneumonia,"cough, chest pain, chills"
Pneumonia,"fever, cough, chills, fatigue"
Psoriasis,"scaly skin, itching, skin flaking, skin dryness"
Psoriasis,"red patches, skin flaking, skin dryness"
Psoriasis,"itching, skin flaking, skin dryness"
Psoriasis,"red patches, scaly skin, itching"
Psoriasis,"scaly skin, itching, skin dryness"
Psoriasis,"red patches, scaly skin, skin dryness"
Psoriasis,"scaly skin, skin flaking, skin dryness"
Psoriasis,"red patches, scaly skin, skin flaking"
Psoriasis,"red patches, scaly skin, skin flaking, skin dryness"
Psoriasis,"red patches, itching, skin flaking"
Psoriasis,"red patches, itching, skin dryness"
Psoriasis,"scaly skin, itching, skin flaking"
Psoriasis,"red patches, scaly skin, itching, skin dryness"
Psoriasis,"red patches, itching, skin flaking, skin dryness"
Psoriasis,"red patches, scaly skin, itching, skin flaking"
Psoriasis,"red patches, scaly skin, itching, skin flaking, skin dryness"
Rheumatoid Arthritis,"joint pain, swelling, fatigue"
Rheumatoid Arthritis,"joint pain, swelling, fatigue, stiffness"
Rheumatoid Arthritis,"swelling, fatigue, stiffness"
Rheumatoid Arthritis,"joint pain, fatigue, stiffness"
Rheumatoid Arthritis,"joint pain, swelling, stiffness"
Rubella,"rash, fever, joint pain"
Rubella,"fever, headache, joint pain"
Rubella,"rash, fever, headache, joint pain"
Rubella,"rash, headache, joint pain"
Rubella,"rash, fever, headache"
Sinusitis,"facial pain, nasal congestion, runny nose"
Sinusitis,"nasal congestion, runny nose, fever"
Sinusitis,"facial pain, nasal congestion, fever"
Sinusitis,"headache, nasal congestion, runny nose, fever"
Sinusitis,"facial pain, runny nose, fever"
Sinusitis,"headache, facial pain, nasal congestion"
Sinusitis,"facial pain, nasal congestion, runny nose, fever"
Sinusitis,"headache, facial pain, runny nose, fever"
Sinusitis,"headache, facial pain, fever"
Sinusitis,"headache, nasal congestion, fever"
Sinusitis,"headache, runny nose, fever"
Sinusitis,"headache, facial pain, nasal congestion, runny nose"
Sinusitis,"headache, facial pain, runny nose"
Sinusitis,"headache, facial pain, nasal congestion, runny nose, fever"
Sinusitis,"headache, nasal congestion, runny nose"
Sinusitis,"headache, facial pain, nasal congestion, fever"
Stroke,"sudden weakness, confusion, trouble speaking"
Stroke,"sudden weakness, trouble speaking, vision problems"
Stroke,"confusion, trouble speaking, vision problems"
Stroke,"sudden weakness, confusion, vision problems"
Stroke,"sudden weakness, confusion, trouble speaking, vision problems"
Tension Headache,"headache, neck pain, fatigue, pressure around head"
Tension Headache,"headache, neck pain, pressure around head"
Tension Headache,"headache, neck pain, fatigue"
Tension Headache,"headache, fatigue, pressure around head"
Tension Headache,"neck pain, fatigue, pressure around head"
Tuberculosis,"persistent cough, night sweats, chest pain"
Tuberculosis,"weight loss, night sweats, fever, fatigue"
Tuberculosis,"persistent cough, night sweats, fever"
Tuberculosis,"weight loss, night sweats, fever, fatigue, chest pain"
Tuberculosis,"persistent cough, fever, chest pain"
Tuberculosis,"persistent cough, fatigue, chest pain"
Tuberculosis,"persistent cough, weight loss, fever, fatigue"
Tuberculosis,"persistent cough, weight loss, night sweats, fever, chest pain"
Tuberculosis,"persistent cough, fever, fatigue, chest pain"
Tuberculosis,"weight loss, night sweats, fatigue, chest pain"
Tuberculosis,"weight loss, night sweats, fatigue"
Tuberculosis,"weight loss, night sweats, fever"
Tuberculosis,"persistent cough, weight loss, night sweats, fever"
Tuberculosis,"night sweats, fatigue, chest pain"
Tuberculosis,"persistent cough, night sweats, fatigue, chest pain"
Tuberculosis,"weight loss, night sweats, chest pain"
Tuberculosis,"weight loss, fever, fatigue"
Tuberculosis,"night sweats, fever, fatigue, chest pain"
Tuberculosis,"persistent cough, weight loss, night sweats, fatigue"
Tuberculosis,"persistent cough, night sweats, fatigue"
Tuberculosis,"weight loss, fever, chest pain"
Tuberculosis,"persistent cough, night sweats, fever, chest pain"
Tuberculosis,"persistent cough, weight loss, night sweats, fever, fatigue"
Tuberculosis,"persistent cough, weight loss, night sweats, chest pain"
Tuberculosis,"persistent cough, night sweats, fever, fatigue"
Tuberculosis,"persistent cough, weight loss, night sweats"
Tuberculosis,"persistent cough, weight loss, night sweats, fatigue, chest pain"
Tuberculosis,"persistent cough, weight loss, fatigue, chest pain"
Tuberculosis,"persistent cough, night sweats, fever, fatigue, chest pain"
Tuberculosis,"persistent cough, fever, fatigue"
Tuberculosis,"night sweats, fever, chest pain"
Tuberculosis,"weight loss, fever, fatigue, chest pain"
Tuberculosis,"persistent cough, weight loss, chest pain"
Tuberculosis,"persistent cough, weight loss, fatigue"
Tuberculosis,"persistent cough, weight loss, fever"
Tuberculosis,"weight loss, fatigue, chest pain"
Tuberculosis,"night sweats, fever, fatigue"
Tuberculosis,"fever, fatigue, chest pain"
Tuberculosis,"weight loss, night sweats, fever, chest pain"
Tuberculosis,"persistent cough, weight loss, fever, chest pain"
Tuberculosis,"persistent cough, weight loss, fever, fatigue, chest pain"
Typhoid,"abdominal pain, weakness, loss of appetite"
Typhoid,"prolonged fever, weakness, headache"
Typhoid,"abdominal pain, weakness, loss of appetite, headache"
Typhoid,"prolonged fever, weakness, loss of appetite"
Typhoid,"prolonged fever, weakness, loss of appetite, headache"
Typhoid,"prolonged fever, abdominal pain, headache"
Typhoid,"prolonged fever, abdominal pain, loss of appetite, headache"
Typhoid,"prolonged fever, loss of appetite, headache"
Typhoid,"prolonged fever, abdominal pain, weakness"
Typhoid,"abdominal pain, weakness, headache"
Typhoid,"abdominal pain, loss of appetite, headache"
Typhoid,"weakness, loss of appetite, headache"
Typhoid,"prolonged fever, abdominal pain, loss of appetite"
Typhoid,"prolonged fever, abdominal pain, weakness, loss of appetite, headache"
Typhoid,"prolonged fever, abdominal pain, weakness, loss of appetite"
Typhoid,"prolonged fever, abdominal pain, weakness, headache"
Urinary Tract Infection,"burning urination, cloudy urine, strong urine odor"
Urinary Tract Infection,"burning urination, frequent urination, pelvic pain, cloudy urine, strong urine odor"
Urinary Tract Infection,"burning urination, pelvic pain, strong urine odor"
Urinary Tract Infection,"frequent urination, pelvic pain, cloudy urine, strong urine odor"
Urinary Tract Infection,"burning urination, frequent urination, strong urine odor"
Urinary Tract Infection,"burning urination, pelvic pain, cloudy urine"
Urinary Tract Infection,"frequent urination, pelvic pain, cloudy urine"
Urinary Tract Infection,"frequent urination, cloudy urine, strong urine odor"
Urinary Tract Infection,"burning urination, frequent urination, pelvic pain"
Urinary Tract Infection,"burning urination, pelvic pain, cloudy urine, strong urine odor"
Urinary Tract Infection,"burning urination, frequent urination, cloudy urine, strong urine odor"
Urinary Tract Infection,"burning urination, frequent urination, cloudy urine"
Urinary Tract Infection,"burning urination, frequent urination, pelvic pain, cloudy urine"
Urinary Tract Infection,"pelvic pain, cloudy urine, strong urine odor"
Urinary Tract Infection,"burning urination, frequent urination, pelvic pain, strong urine odor"
Urinary Tract Infection,"frequent urination, pelvic pain, strong urine odor"
Vertigo,"balance problems, nausea, spinning sensation, head movement sensitivity"
Vertigo,"balance problems, nausea, spinning sensation"
Vertigo,"dizziness, nausea, spinning sensation"
Vertigo,"dizziness, nausea, head movement sensitivity"
Vertigo,"nausea, spinning sensation, head movement sensitivity"
Vertigo,"dizziness, balance problems, nausea, head movement sensitivity"
Vertigo,"dizziness, balance problems, nausea, spinning sensation"
Vertigo,"dizziness, balance problems, head movement sensitivity"
Vertigo,"dizziness, balance problems, spinning sensation, head movement sensitivity"
Vertigo,"dizziness, balance problems, nausea"
Vertigo,"dizziness, spinning sensation, head movement sensitivity"
Vertigo,"dizziness, nausea, spinning sensation, head movement sensitivity"
Vertigo,"dizziness, balance problems, nausea, spinning sensation, head movement sensitivity"
Vertigo,"balance problems, spinning sensation, head movement sensitivity"
Vertigo,"balance problems, nausea, head movement sensitivity"
Vertigo,"dizziness, balance problems, spinning sensation"
Vitamin B12 Deficiency,"numbness, weakness, dizziness"
Vitamin B12 Deficiency,"fatigue, numbness, dizziness"
Vitamin B12 Deficiency,"fatigue, numbness, weakness, dizziness"
Vitamin B12 Deficiency,"fatigue, numbness, weakness"
Vitamin B12 Deficiency,"fatigue, weakness, dizziness"
Vitamin D Deficiency,"fatigue, muscle weakness, frequent bone fractures"
Vitamin D Deficiency,"bone pain, fatigue, bone tenderness"
Vitamin D Deficiency,"bone pain, muscle weakness, bone tenderness"
Vitamin D Deficiency,"bone pain, fatigue, muscle weakness, frequent bone fractures"
Vitamin D Deficiency,"muscle weakness, bone tenderness, frequent bone fractures"
Vitamin D Deficiency,"bone pain, muscle weakness, bone tenderness, frequent bone fractures"
Vitamin D Deficiency,"bone pain, fatigue, muscle weakness, bone tenderness"
Vitamin D Deficiency,"bone pain, fatigue, muscle weakness"
Vitamin D Deficiency,"bone pain, fatigue, muscle weakness, bone tenderness, frequent bone fractures"
Vitamin D Deficiency,"fatigue, muscle weakness, bone tenderness, frequent bone fractures"
Vitamin D Deficiency,"bone pain, fatigue, bone tenderness, frequent bone fractures"
Vitamin D Deficiency,"bone pain, muscle weakness, frequent bone fractures"
Vitamin D Deficiency,"fatigue, bone tenderness, frequent bone fractures"
Vitamin D Deficiency,"bone pain, bone tenderness, frequent bone fractures"
Vitamin D Deficiency,"fatigue, muscle weakness, bone tenderness"
Vitamin D Deficiency,"bone pain, fatigue, frequent bone fractures"
